,wt,score,lb,ub
118,73.09303042484403,6.466841758655551,5.535987963978412,7.3976955533326905
119,73.29361842438476,6.4599820424376535,5.532135410366137,7.38782867450917
120,73.49356853984426,6.45606328356612,5.53009354561718,7.382033021515061
121,73.55166773262887,6.454798516777133,5.529664824087312,7.379932209466955
122,73.5759619139665,6.452681948859581,5.528179463675212,7.377184434043951
123,73.6526980483538,6.454616882699288,5.531029807757588,7.378203957640987
124,73.75193271681378,6.442948960735409,5.528925611607715,7.356972309863103
125,73.86568034474938,6.400199214231447,5.520824179863625,7.27957424859927
126,74.02445239239775,6.3968656427858726,5.520942602378415,7.27278868319333
127,74.12875870266873,6.391937347374618,5.519037079252721,7.264837615496516
128,74.33195974646519,6.438117274434685,5.5648643043960995,7.31137024447327
129,74.43976286943693,6.47133602042277,5.599674590301323,7.3429974505442175
130,74.67207240885502,6.501776500082906,5.6274806573989276,7.376072342766885
131,74.82597619586313,6.505561853085329,5.629186201372248,7.38193750479841
132,75.04316504171541,6.504849860335041,5.6290716456329415,7.38062807503714
